title,authors,genre,subjects,avg_rating,ratings_count,year,pages,isbn,source,content,publication_year
Talking With Psychopaths and Savages,Christopher Berry-Dee,True Crime,Sociology; True Crime; Nonfiction; Crime; Psychology,4.2,30.0,2019.0,304.0,1789464226,OpenLibraryAPI,Talking With Psychopaths and Savages Christopher Berry-Dee True Crime Sociology; True Crime; Nonfiction; Crime; Psychology,
Killing for Company,Brian Masters,True Crime,Sex crimes; Serial murders; Gay murderers; Criminals; Case studies; Murderers,4.857143,7.0,1985.0,352.0,0812883403,OpenLibraryAPI,Killing for Company Brian Masters True Crime Sex crimes; Serial murders; Gay murderers; Criminals; Case studies; Murderers,
Midnight in the Garden of Good and Evil,John Berendt,True Crime,Social life and customs; Trials (Murder); True Crime; Nonfiction; History; Celebrities,3.892857,28.0,1994.0,391.0,0679429220,OpenLibraryAPI,Midnight in the Garden of Good and Evil John Berendt True Crime Social life and customs; Trials (Murder); True Crime; Nonfiction; History; Celebrities,
Mindhunter,"John E. Douglas, Mark Olshaker",True Crime,Psychology; Serial murderers; Officials and employees; United States; Serial murder investigation; United States. Federal Bureau of Investigation. Behavioral Science Unit,4.0,17.0,1995.0,397.0,0434003670,OpenLibraryAPI,"Mindhunter John E. Douglas, Mark Olshaker True Crime Psychology; Serial murderers; Officials and employees; United States; Serial murder investigation; United States. Federal Bureau of Investigation. Behavioral Science Unit",
Small sacrifices,Ann Rule,True Crime,Murder; Trials (Murder); Case studies; Murderers; Biography; Criminals,4.4,10.0,1987.0,494.0,9780751535563,OpenLibraryAPI,Small sacrifices Ann Rule True Crime Murder; Trials (Murder); Case studies; Murderers; Biography; Criminals,
The Innocent Man,John Grisham,True Crime,"Judicial error; Trials, litigation; Trials (Murder); True Crime; Capital punishment; Biography & Autobiography",4.2727275,11.0,2006.0,416.0,9788498725483,OpenLibraryAPI,"The Innocent Man John Grisham True Crime Judicial error; Trials, litigation; Trials (Murder); True Crime; Capital punishment; Biography & Autobiography",
Under the Banner of Heaven,Jon Krakauer,True Crime,"True Crime; Mormon fundamentalism; Nonfiction; Religion & Spirituality; Mormon church, doctrines; Religious fundamentalism",3.75,24.0,2003.0,399.0,0739306561,OpenLibraryAPI,"Under the Banner of Heaven Jon Krakauer True Crime True Crime; Mormon fundamentalism; Nonfiction; Religion & Spirituality; Mormon church, doctrines; Religious fundamentalism",
The anatomy of motive,"John E. Douglas, John Douglas, Mark Olshaker",True Crime,Homicide investigation; Criminal investigation; Criminal psychology; Criminal behavior; Officials and employees; Biography,4.8,5.0,1999.0,320.0,9780756752927,OpenLibraryAPI,"The anatomy of motive John E. Douglas, John Douglas, Mark Olshaker True Crime Homicide investigation; Criminal investigation; Criminal psychology; Criminal behavior; Officials and employees; Biography",
The burning bed,Faith McNulty,True Crime,Abused wives; Marital violence; Biography; Wife abuse; True Crime; Abused women,5.0,4.0,1980.0,290.0,9780380707713,OpenLibraryAPI,The burning bed Faith McNulty True Crime Abused wives; Marital violence; Biography; Wife abuse; True Crime; Abused women,
She Said,"Jodi Kantor, Megan Twohey",True Crime,"Sex crimes, united states; Social movements; Motion picture producers and directors; United states, supreme court; Sexual harassment; Women, united states, biography",4.5,4.0,2019.0,320.0,9781526603289,OpenLibraryAPI,"She Said Jodi Kantor, Megan Twohey True Crime Sex crimes, united states; Social movements; Motion picture producers and directors; United states, supreme court; Sexual harassment; Women, united states, biography",
Homicide,David Simon,True Crime,Homicide investigation; Baltimore (Md.).; Baltimore (Md.). Police Dept. Homicide Unit; Nonfiction; True Crime; Baltimore (Md.). Police Department. Homicide Unit,4.5,4.0,1991.0,608.0,0340567902,OpenLibraryAPI,Homicide David Simon True Crime Homicide investigation; Baltimore (Md.).; Baltimore (Md.). Police Dept. Homicide Unit; Nonfiction; True Crime; Baltimore (Md.). Police Department. Homicide Unit,
My life with a criminal,John Kiriamiti,True Crime,True crime; memoir; crime; criminal; family; love,3.6470587,17.0,1989.0,148.0,9789966467683,OpenLibraryAPI,My life with a criminal John Kiriamiti True Crime True crime; memoir; crime; criminal; family; love,
Whoever fights monsters,"Robert K. Ressler, Thomas Schachtman",True Crime,Homicide; Serial murders; True Crime; Forensic Science; General; True Crime / Murder,4.25,4.0,1993.0,289.0,9780312950446,OpenLibraryAPI,"Whoever fights monsters Robert K. Ressler, Thomas Schachtman True Crime Homicide; Serial murders; True Crime; Forensic Science; General; True Crime / Murder",
American Predator,Maureen Callahan,True Crime,Sociology; nyt:hardcover-nonfiction=2019-07-21; New York Times bestseller; Serial murderers; Biography; TRUE CRIME,4.0,4.0,2019.0,304.0,0143129708,OpenLibraryAPI,American Predator Maureen Callahan True Crime Sociology; nyt:hardcover-nonfiction=2019-07-21; New York Times bestseller; Serial murderers; Biography; TRUE CRIME,
American heiress,Jeffrey Toobin,True Crime,"Trials, litigation; Trials (Robbery); Symbionese Liberation Army; nyt:combined-print-and-e-book-nonfiction=2016-08-21; New York Times bestseller; New York Times reviewed",4.3333335,3.0,2016.0,371.0,9780385536714,OpenLibraryAPI,"American heiress Jeffrey Toobin True Crime Trials, litigation; Trials (Robbery); Symbionese Liberation Army; nyt:combined-print-and-e-book-nonfiction=2016-08-21; New York Times bestseller; New York Times reviewed",
The road to Jonestown,Jeff Guinn,True Crime,"Large type books; Jonestown Mass Suicide, Jonestown, Guyana, 1978; Peoples Temple; Criminals, united states; Criminals, biography; Homicide",4.0,3.0,2017.0,538.0,9781476763842,OpenLibraryAPI,"The road to Jonestown Jeff Guinn True Crime Large type books; Jonestown Mass Suicide, Jonestown, Guyana, 1978; Peoples Temple; Criminals, united states; Criminals, biography; Homicide",
Stolen Innocence,Elissa Wall,True Crime,Abused wives; Religious aspects; Religious aspects of Marriage; Mormons; Fundamentalist Church of Jesus Christ of Latter Day Saints; Forced marriage,4.0,4.0,2008.0,438.0,0061628034,OpenLibraryAPI,Stolen Innocence Elissa Wall True Crime Abused wives; Religious aspects; Religious aspects of Marriage; Mormons; Fundamentalist Church of Jesus Christ of Latter Day Saints; Forced marriage,
By Their Father's Hand,Monte Francis,True Crime,"Nonfiction; True Crime; Murder; Case studies; Murder, california; Mass murder",5.0,2.0,2007.0,285.0,0061443824,OpenLibraryAPI,"By Their Father's Hand Monte Francis True Crime Nonfiction; True Crime; Murder; Case studies; Murder, california; Mass murder",
The Laramie Project,"Moisés Kaufman, Tectonic Theater Project, Jorge Muriel, ʻAmit Gur, Israel) Teʾaṭron ha-Ḳibuts (Tel Aviv, Tectonic Theatre Project",True Crime,homicide; trials (murder); gay men -- crimes against; drama; homophobia; hate crimes,5.0,2.0,2001.0,112.0,8416876940,OpenLibraryAPI,"The Laramie Project Moisés Kaufman, Tectonic Theater Project, Jorge Muriel, ʻAmit Gur, Israel) Teʾaṭron ha-Ḳibuts (Tel Aviv, Tectonic Theatre Project True Crime homicide; trials (murder); gay men -- crimes against; drama; homophobia; hate crimes",
The octopus,"Kenn Thomas, Jim Keith",True Crime,Politics and government; Conspiracies; Nonfiction; Politics; Murder; Crime & criminology,5.0,2.0,1996.0,203.0,1932595767,OpenLibraryAPI,"The octopus Kenn Thomas, Jim Keith True Crime Politics and government; Conspiracies; Nonfiction; Politics; Murder; Crime & criminology",
The Mastermind,Evan Ratliff,True Crime,"Criminals, biography; Drug traffic; New York Times reviewed; Computer crimes; Organized crime; Sociology",5.0,2.0,2019.0,480.0,9780399590412,OpenLibraryAPI,"The Mastermind Evan Ratliff True Crime Criminals, biography; Drug traffic; New York Times reviewed; Computer crimes; Organized crime; Sociology",
Blind Faith,Joe McGinniss,True Crime,"Case studies; Murder; true crime; New Jersey Collection; Fiction, general; Murder, new jersey",3.8,5.0,1981.0,448.0,9780708845592,OpenLibraryAPI,"Blind Faith Joe McGinniss True Crime Case studies; Murder; true crime; New Jersey Collection; Fiction, general; Murder, new jersey",
Kansas Charley,Joan Jacobs Brumberg,True Crime,"True Crime; Case studies; Murderers; Biography; Juvenile homicide; Criminals, united states",4.5,2.0,2003.0,273.0,0786753374,OpenLibraryAPI,"Kansas Charley Joan Jacobs Brumberg True Crime True Crime; Case studies; Murderers; Biography; Juvenile homicide; Criminals, united states",
Blood Brother,Anne Bird,True Crime,Murder; True Crime; Nonfiction; Biography & Autobiography; Case studies..; Uxoricide,4.5,2.0,2005.0,224.0,9780060850333,OpenLibraryAPI,Blood Brother Anne Bird True Crime Murder; True Crime; Nonfiction; Biography & Autobiography; Case studies..; Uxoricide,
